Team,G,AB,R,H,2B,3B,HR,RBI,TB,BB,season
PBA,5,181,40,63,8,1,0,32,73,20,2023 CCBC Champs
UFV,2,69,6,22,2,1,1,5,29,3,2023 CCBC Champs
UC,4,142,37,43,8,2,0,22,55,26,2023 CCBC Champs
VC,5,189,41,57,13,1,1,28,75,19,2023 CCBC Champs
OC,4,128,23,35,4,0,1,18,42,22,2023 CCBC Champs
TRU,2,79,14,21,1,2,1,9,29,6,2023 CCBC Champs
VIU,3,98,10,24,2,3,0,7,32,12,2023 CCBC Champs
EC,3,91,11,11,4,0,0,8,15,12,2023 CCBC Champs
Total:,28,977,182,276,42,10,4,129,350,120,2023 CCBC Champs
PBA,32,1094,217,309,38,10,9,178,394,159,CCBC 2023
UFV,32,1054,203,277,29,10,3,142,335,133,CCBC 2023
OC,32,1044,206,262,38,14,7,147,349,182,CCBC 2023
VC,32,1069,199,264,39,7,9,138,344,156,CCBC 2023
VIU,30,972,159,238,45,3,7,131,310,124,CCBC 2023
EC,32,1010,169,237,32,12,4,123,305,149,CCBC 2023
UC,32,1042,138,243,31,12,2,106,304,137,CCBC 2023
TRU,30,955,145,205,21,5,5,115,251,161,CCBC 2023
Total:,252,8240,1436,2035,273,73,46,1080,2592,1201,CCBC 2023
OC,4,119,29,35,7,2,1,21,49,20,2022 CCBC Champs
PBA,6,204,34,60,11,0,0,27,71,17,2022 CCBC Champs
VC,3,102,14,28,5,0,0,14,33,12,2022 CCBC Champs
UC,2,69,7,19,5,0,0,7,24,12,2022 CCBC Champs
UFV,4,139,29,37,10,0,1,24,50,17,2022 CCBC Champs
EC,4,140,24,34,4,2,0,19,42,22,2022 CCBC Champs
VIU,3,101,11,21,3,3,2,7,36,5,2022 CCBC Champs
TRU,2,68,11,9,1,1,0,6,12,12,2022 CCBC Champs
Total:,28,942,159,243,46,8,4,125,317,117,2022 CCBC Champs
PBA,32,1145,307,389,80,22,26,262,591,158,CCBC 2022
OC,30,1022,260,320,46,20,11,214,439,145,CCBC 2022
VIU,27,903,183,248,55,12,18,157,381,144,CCBC 2022
UC,32,1118,200,298,73,11,4,157,405,127,CCBC 2022
EC,30,999,177,241,48,9,7,148,328,159,CCBC 2022
UFV,30,959,153,229,43,5,8,109,306,135,CCBC 2022
VC,25,807,117,184,42,4,2,97,240,93,CCBC 2022
TRU,28,932,130,204,37,7,6,104,273,141,CCBC 2022
Total:,234,7885,1527,2113,424,90,82,1248,2963,1102,CCBC 2022
OC,5,156,45,40,9,2,0,23,53,32,Fall 2021
UFV,5,155,29,38,9,0,1,18,50,24,Fall 2021
VC,4,130,29,30,4,0,1,18,37,16,Fall 2021
PBA,4,123,27,25,4,1,0,18,31,18,Fall 2021
TRU,4,110,18,20,0,0,2,13,26,12,Fall 2021
VIU,4,129,8,23,6,0,1,4,32,11,Fall 2021
EC,4,103,5,18,2,1,0,4,22,11,Fall 2021
UC,4,125,10,21,2,1,0,3,25,13,Fall 2021
Total:,34,1031,171,215,36,5,5,101,276,137,Fall 2021
CSN,4,105,51,40,9,3,3,36,64,29,Pre Season 2020
SLC,2,58,25,20,2,4,0,20,30,16,Pre Season 2020
WWC,2,64,28,19,6,4,0,19,33,15,Pre Season 2020
BMC,2,61,18,17,1,1,0,11,20,14,Pre Season 2020
CNC,2,57,15,13,5,1,0,11,20,15,Pre Season 2020
PBA,12,331,61,72,6,3,6,49,102,47,Pre Season 2020
Total:,24,676,198,181,29,16,9,146,269,136,Pre Season 2020
UFV,8,281,64,89,21,3,4,45,128,51,2019 CCBC Champs
OC,6,195,58,61,13,0,2,48,80,40,2019 CCBC Champs
PBA,3,105,23,29,4,0,1,17,36,19,2019 CCBC Champs
EC,3,106,17,22,3,0,1,13,28,15,2019 CCBC Champs
UC,3,98,12,19,2,0,1,12,24,10,2019 CCBC Champs
VIU,2,57,0,11,1,0,0,0,12,4,2019 CCBC Champs
TRU,3,93,14,17,3,0,0,12,20,9,2019 CCBC Champs
Total:,28,935,188,248,47,3,9,147,328,148,2019 CCBC Champs
CSN,4,130,48,48,10,0,7,30,79,16,Pre Season 2019
CSI,6,177,46,54,13,6,3,36,88,22,Pre Season 2019
PBA,14,383,51,84,18,1,7,41,125,23,Pre Season 2019
CNC,4,92,15,20,5,0,0,10,25,15,Pre Season 2019
Total:,28,782,160,206,46,7,17,117,317,76,Pre Season 2019
OC,28,973,217,275,51,5,10,162,366,146,CCBC 2019
PBA,24,815,141,227,49,11,14,123,340,64,CCBC 2019
UFV,24,770,142,212,36,6,11,107,293,131,CCBC 2019
TRU,28,929,219,247,50,7,8,170,335,160,CCBC 2019
UC,26,801,111,188,25,6,6,92,243,104,CCBC 2019
EC,24,756,105,173,26,7,1,78,216,106,CCBC 2019
VIU,26,836,115,182,35,3,11,99,256,95,CCBC 2019
Total:,180,5880,1050,1504,272,45,61,831,2049,806,CCBC 2019
UFV,4,154,42,58,10,6,3,32,89,17,2018 CCBC Champ
VIU,3,116,34,39,3,0,2,29,48,12,2018 CCBC Champ
OCC,4,123,24,35,8,2,1,22,50,12,2018 CCBC Champ
UofC,4,144,23,35,3,1,1,12,43,14,2018 CCBC Champ
TRU,4,140,18,34,6,1,1,19,45,18,2018 CCBC Champ
PBA,3,92,5,15,2,0,1,3,20,1,2018 CCBC Champ
Total:,22,769,146,216,32,10,9,117,295,74,2018 CCBC Champ
SLC,3,96,20,34,5,2,4,19,55,11,Pre Season 2018
CNC,1,34,5,12,1,0,0,4,13,5,Pre Season 2018
CSN,4,128,37,42,10,2,3,35,65,12,Pre Season 2018
USU,4,142,36,37,6,3,0,31,49,32,Pre Season 2018
CSI,4,110,16,27,9,2,1,15,43,8,Pre Season 2018
WWC,4,122,20,29,7,0,0,17,36,18,Pre Season 2018
BMC,2,65,9,15,1,0,1,8,19,10,Pre Season 2018
PBA,24,747,71,162,26,6,2,62,206,66,Pre Season 2018
CBC,2,56,14,12,1,0,0,9,13,7,Pre Season 2018
Total:,48,1500,228,370,66,15,11,200,499,169,Pre Season 2018
PBA,29,1025,236,306,51,9,10,183,405,129, CCBC 2018
UFV,26,856,167,239,41,4,4,126,300,138, CCBC 2018
OCC,28,926,217,257,56,11,17,174,386,171, CCBC 2018
VIU,28,933,156,249,47,1,5,121,313,127, CCBC 2018
TRU,31,1015,178,270,63,2,8,140,361,176, CCBC 2018
UofC,28,935,147,241,44,4,6,117,311,106, CCBC 2018
Total:,170,5690,1101,1562,302,31,50,861,2076,847, CCBC 2018
TRU,6,217,48,66,12,1,1,40,83,33,2017 CCBC Champ
PBA,6,215,47,64,6,3,6,36,94,26,2017 CCBC Champ
OCC,5,173,33,48,13,2,4,29,77,24,2017 CCBC Champ
UFV,5,167,25,46,9,1,1,22,60,17,2017 CCBC Champ
UofC,4,125,17,33,7,0,3,16,49,17,2017 CCBC Champ
VIU,4,135,15,28,7,1,0,11,37,11,2017 CCBC Champ
Total:,30,1032,185,285,54,8,15,154,400,128,2017 CCBC Champ
PC,1,61,21,28,12,0,1,17,43,6,Pre Season 2017
GCC,1,35,9,15,3,0,0,8,18,5,Pre Season 2017
CSN,2,66,16,24,2,0,0,14,26,16,Pre Season 2017
PCC,2,50,14,15,2,0,0,11,17,4,Pre Season 2017
